platform,AllPhysicians,WebPhysicians,HasReviews,HasReviewsRct3Y,HasReviewsRct2Y,HasReviewsRct1Y
review_healthgrades,1141176.0,719717.0,333990.0,246960.0,196538.0,127626.0
,1.0,0.630680105435095,0.29267177017392587,0.21640833666323162,0.17222409163880067,0.11183726261330416
,,1.0,0.46405740033930004,0.3431348710673779,0.27307677878944087,0.17732803310189976
,,,1.0,0.7394233360280248,0.5884547441540166,0.3821252133297404
,,,,,,
review_vitals,1141176.0,720293.0,497593.0,225992.0,131675.0,49661.0
,1.0,0.6311848479112775,0.43603528290114757,0.19803430846775608,0.11538535685994097,0.0435173890793357
,,1.0,0.6908202634205802,0.31375009891807915,0.18280755192678536,0.0689455541009006
,,,1.0,0.4541703761909834,0.26462389945196174,0.09980244898943515
,,,,,,
review_ratemds,1141176.0,152678.0,50377.0,12623.0,8458.0,5005.0
,1.0,0.13379005517115677,0.04414481201847918,0.011061396313977862,0.007411652540887646,0.00438582655085631
,,1.0,0.32995585480553846,0.08267726849971836,0.05539763423675972,0.03278140924036207
,,,1.0,0.2505706969450344,0.16789407864700162,0.09935089425729995
,,,,,,
review_yelp,1141176.0,30902.0,19532.0,14144.0,11196.0,7451.0
,1.0,0.027079083331580756,0.017115677161103984,0.012394231915147182,0.009810931880796651,0.006529229496589483
,,1.0,0.6320626496666882,0.4577050029124329,0.3623066468189761,0.24111707980066016
,,,1.0,0.7241449928322753,0.5732131886135572,0.38147655130043007
,,,,,,
review_zocdoc,1141176.0,167996.0,22986.0,14361.0,12175.0,9336.0
,1.0,0.14721305039713417,0.02014237944015647,0.012584386632736757,0.010668818832502612,0.008181034301457444
,,1.0,0.1368246863020548,0.08548417819471892,0.07247196361818138,0.0555727517321841
,,,1.0,0.6247716001044114,0.5296702340555121,0.40616027146959016
,,,,,,
review_all,1141176.0,887354.0,587562.0,353574.0,266008.0,159334.0
,1.0,0.7775785680736363,0.514874129845002,0.30983301436412963,0.23309988993809894,0.1396226348959319
,,1.0,0.6621506185806341,0.3984587887134109,0.2997766393119319,0.179560806622836
,,,1.0,0.601764579737968,0.45273179681463405,0.27117819055691145
,,,,,,
review_all(zocdoc),1141176.0,894656.0,590194.0,357464.0,270725.0,164786.0
,1.0,0.7839772305060745,0.5171805225486691,0.31324177865640357,0.237233345250864,0.14440016263924232
,,1.0,0.6596881930037914,0.39955468917662207,0.3026023410115173,0.1841892302739824
,,,1.0,0.6056720332636387,0.45870510374554807,0.27920649820228605
,,,,,,
